Unnamed: 0,id,mime_type,collection_name,created_at,country,make,model,submodel,engine_capacity,manufacture_year,fuel_type,gas_type,mileage,inventory_id,listing_id,is_background,url,file_created_at,file_updated_at
119,34799783,image/jpeg,default,2022-04-27T02:54:09.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799783/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-024.jpg,2022-04-27T02:54:09.000Z,2022-04-27T03:02:32.000Z
120,34799782,image/jpeg,default,2022-04-27T02:54:09.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799782/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-020.jpg,2022-04-27T02:54:09.000Z,2022-04-27T03:02:34.000Z
121,34799781,image/jpeg,default,2022-04-27T02:54:09.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799781/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-020.jpg,2022-04-27T02:54:09.000Z,2022-04-27T03:02:36.000Z
122,34799780,image/jpeg,default,2022-04-27T02:54:09.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799780/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-020.jpg,2022-04-27T02:54:09.000Z,2022-04-27T03:02:39.000Z
123,34799779,image/jpeg,default,2022-04-27T02:54:09.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799779/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-020.jpg,2022-04-27T02:54:09.000Z,2022-04-27T03:02:41.000Z
124,34799758,image/jpeg,default,2022-04-27T02:53:52.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799758/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-019.jpg,2022-04-27T02:53:52.000Z,2022-04-27T03:03:08.000Z
125,34799756,image/jpeg,default,2022-04-27T02:53:52.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,y,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799756/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-018.jpg,2022-04-27T02:53:52.000Z,2022-04-27T03:03:09.000Z
126,34799753,image/jpeg,default,2022-04-27T02:53:51.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799753/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-015.jpg,2022-04-27T02:53:51.000Z,2022-04-27T02:53:52.000Z
127,34799751,image/jpeg,default,2022-04-27T02:53:51.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799751/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-015.jpg,2022-04-27T02:53:51.000Z,2022-04-27T02:53:51.000Z
128,34799750,image/jpeg,default,2022-04-27T02:53:51.000Z,thailand,NISSAN,SYLPHY,1.6 SV,1600,2018,petrol,none,68634,710546,203407,,https://s3-ap-southeast-1.amazonaws.com/carro.co/2022/04/Inventory/34799750/nissan-sylphy-1.6-sv-2018-EQP7V5-carro-015.jpg,2022-04-27T02:53:51.000Z,2022-04-27T02:54:38.000Z
